age,description,review,is_recommended,rating_star,review_date,usage_period,purchase_point
19 - 24,"Normal, Dark, Warm",BAGUSSSSS SEKLIIIII PRODUKNYAA BISAA NGELINDUNGIN DARII SENART MATAHARIII LANSUNGGGG JOSSS BANGETT POKOKNYAA SPF NYA +++++ AKUU UDH PAKE DARII LAMAAAAA EMANGGF SEBAGUSSSS ITUUUUUUUUU TEKTURRNYA MANTUULLLLLLLL HARUSS COBAIN SIIIIIIII,yes,5,05/05/24, 3 months - 6 months, Tiktok
19 - 24,"Oily, Dark, Warm","teksturnya moist bikin kulit lembab, langsung nyerap di kulit.sesuai fungsinya buat terhindar dari sinar uv, cocok untuk kulit oily dan ga ninggalin white cast. recomend buat temen² mahasiswa kaya aku karna murcee ga bikin kantong boncos",yes,5,05/05/24, 1 month - 3 months, Watson
19 - 24,"Dry, Medium, Neutral","Bagusss banget gamapang nyerepnya walaupun dia aga kentel, ga ninggalin whitecast jugaa luv luv. Aku uda pake ini dari lama sebelum dia ganti pakacging uda andalan banget pokonya harganya juga murahh pwoll cocok di kantong remaja atau mahasiswa",yes,5,05/05/24, 6 months - 1 year, Shopee
18 and Under,"Combination, Medium Light, Neutral","haloo aku mau revieww ini produk, dari jam smp kelas 8 aku pake sunscreen si wardah inii yang mana inituu baguss bangeett sampee sekarang aku masi sukaa pake, ga greasy ga ngelupas dan ga ngerusak make up jugaa !!! jadii buat kalian yang penasaran sm produknya bisa langsung dibeli yaa !!",yes,5,05/05/24, More than 1 year, Shopee
19 - 24,"Oily, Medium Light, Neutral","Sun Screen bagus, teksturnya gel gak terlalu kental, pake setiap hari sedikit masalah tuh ngerasa gatal, isinya lumayan banyak dalam 1 bulan yang penting lumayan suka slalu percaya diri inilah pertama kali pakai sun screen harus tetep pakai",yes,5,05/05/24, Less than 1 week, Alfamart
19 - 24,"Dry, Medium, Warm","Bangus banget buset produknya apalagi manfaat banget coy buat skincarean bebbbb kata gue mah lu juga harus cobaaa mayan gak siii kalo pake ini buat kulit ter lindungu sinar mataherong gais hmmzzz aku si may ya beli lagi, tapi apa aku punya uanf????",yes,5,05/05/24, 1 week - 1 month, Female Daily Studio
19 - 24,"Combination, Medium Light, Neutral"," Pertama, gak lengket! Bayangin, kamu bisa pakai ini di bawah makeup tanpa ngerasa kayak ada sesuatu yang nyebelin di wajah. Terus, wanginya juga enak, gak kayak produk sunscreen pada umumnya yang bau kayak obat nyamuk. Dan yang paling penting, dia bener-bener melindungi kulit kamu dari sinar matahari. Jadi, kamu bisa tenang deh beraktivitas di luar ruangan tanpa khawatir kulit bakal jadi kayak kulit kaktus.Ukuran botolnya juga pas buat dibawa-bawa, jadi bisa masuk ke dalam tas atau saku celana kamu tanpa bikin repot. Tapi ya, ada satu hal yang perlu diperhatiin, kamu perlu reapply si sunscreen ini setiap beberapa jam ya, terutama kalo lagi banyak keringetan atau habis main air. Harganya emang agak mahal sedikit, tapi menurutku, worth it lah buat yang dapet hasilnya kayak gini. Jadi, kalo kamu lagi cari sunscreen yang oke buat dipake sehari-hari, aku saranin coba deh Produktif Sunscreen ini!",yes,4,05/05/24, 1 week - 1 month, Female Daily Studio
25 - 29,"Normal, Medium, Neutral","Cocok banget di muka aku, udh mau 2 tahun pake sunscreen wardah ini. Setelah memakai sunscreen ini kulit aku jdi gk kusam lagi, terus jdi lembab juga ke kulit. Gk ninggalin whitecase dan gampang di blaned. Aku bakalan repurechase, karena memang se cocok itu di kulit ku ",yes,5,05/05/24, More than 1 year, Shopee
25 - 29,"Normal, Medium, Neutral","Cocok banget di aku bikin muka cerahan,meski texturenya agak susah di blend tapi formulasinya bagus banget, sunscreen paling cocok, formulasinya juga di perbarui terus,ngefek banget di aku cocok banget sama ini, barangnya ga terlalu gede jadi bisa di bawa kemana mana",yes,5,05/05/24, 3 months - 6 months, Shopee
19 - 24,"Normal, Light, Neutral","ini sunscreen yang aku selalu pake kalo lagi di rumah aja. enak sih gak bikin kusam, ada efek tone upnya jadi agak cerahan saat pake ini, udah racunin dua orang pake ini dan mereka suka juga! teksturnya agak thick tapi di aku nggak bikin clogged pores",yes,5,05/05/24, 6 months - 1 year, Lazada
35 - 39,"Normal, Medium Light, Neutral","Awalnya sempat ragu pas mau coba sunscreen ini, karena kulit wajahku agak sensitif, tapi ternyata cocok, ringan banget di muka ga perih sama sekali, mudah di aplikasikan ke muka, ga bikin kusem, setelah di tambahkan bedak dan lainnya ,bisa ngeblend dengan baik mantul deh ",yes,5,05/05/24, 1 month - 3 months, Official Brand Store
19 - 24,"Normal, Medium Light, Neutral","keracun product ini lewat iklan-iklan di tiktok, katanya lembut buat kulit acne prone seperti aku, taunya emang lembut banget, kulit jadi ga gampang iritasi dan merah-merah setelah pakai facial wash, bakal pre-purchase lagi pastinya.",yes,5,05/05/24, 3 months - 6 months, FD Flash Sale
35 - 39,"Oily, Medium Light, Cool","Wardah uv shield bagus banget dimukaku tidak oily,tidak mengkilap,dengan spf 35 sangat mengcover wajah dari sengatan sinar matahari,sangat recommended untuk pemakaian setiap hari karena produk wardah memakai bahan yang bagus dan berkualitas",yes,5,05/05/24, More than 1 year, Female Daily Studio
19 - 24,"Combination, Medium, Neutral","Sunscreen dengan Broad Spectrum Protection, 30x lebih OPTIMAL menjaga kulit dari sinar UV A/UV B serta pancaran blue light berlebih.- Inovasi formula 0% alkohol- RIngan tanpa rasa lengket, nyaman digunakan sehari-hari- Vitamin E dan Pro Vitamin B5 membantu menutrisi kulit dan melindungi dari radikal bebas",yes,5,05/05/24, 1 month - 3 months, Official Brand Store
19 - 24,"Combination, Medium, Warm","Sunscreen yang ringan banget dikulit. Bikin cerah pula. Cocok buat dipakai daily, ngga bikin oily jugaa. Ngga bikin whitecase di kulit, varian ini juga gabikin breakout di wajah. Must try bahkann worth it banget dengan harga yang sangat affordable",yes,5,04/05/24, 1 month - 3 months, Shopee
19 - 24,"Normal, Medium Light, Neutral","sunscreennya sangat reccomendd untuk kulit normal, tahan seharian di luar, membantu untuk melindungi wajah kalian dari sinar matahari dan jg harganya terjangkau utk klian yg punya kulit normal atau oily skin jg cocok beli sunscreen ini ",yes,5,04/05/24, 1 month - 3 months, Shopee
30 - 34,"Normal, Medium, Neutral","sunscreen wardah yang 35 spf tuh menurut akumah lebih enakeun tidak lengket dan langsung menyatu sama kulit ,lebih ringan dan bikin nyaman dipakenya plus harganya juga terjangkau sama kantong, tidak berbekas putih putih dimukanya pokonya rekomen lah",yes,5,04/05/24, 3 months - 6 months, FD Try and Review
19 - 24,"Dry, Light, Neutral","Awalnya beli pas jaman sma ternyata sebagus itu dan harganya murah, jadi keterusan pake produk ini enak dikulit pernah ganti produk tapi bikin beda rasanya dibanding pake produk wardah ngelembabin ke kulit jadi cerah, selain itu murah harganya ",yes,5,04/05/24, More than 1 year, Brand Website
25 - 29,"Combination, Medium, Neutral","Aku dan mamamu pake produk ini bagus banget sunscreen garnier, murah mudah dicari dan juga ga lengket, cepat menyerap ga bikin lengket di wajah, packaging nya juga ga makan tempatjadi bisa dibawa kemanapun kalau lagi traveling atau disimpen di tas buat touch up",yes,5,04/05/24, 1 week - 1 month, Shopee
19 - 24,"Combination, Medium Light, Neutral",tekstur dari sunscreennya sendiri sangat light dengan spf 35 pa +++ lembut diwajah tidak membuat warna kulit wajah menjadi abu abu dan menyatu dengan warna kulit. bisa dibeli di online dan offline store terdekat dengan harga yang terjangakau.,yes,5,04/05/24, 6 months - 1 year, Tokopedia
19 - 24,"Combination, Light, Cool","awalnya aku coba, ternyata emang sebagus itu.. cocok banget di kulit aku yang cenderung kering ..ga khawatirlagi panas-panasan bisa healing-healing atau main di pantai . Kemasan yang praktis bisa dibawa kemana-mana . jadi ga perlu ribet .",yes,4,04/05/24, Less than 1 week, Shopee
19 - 24,"Oily, Medium, Neutral",Sunscreen wardah sangat worth to buy dan worth to try untuk dibeli! Teksturnya lembut dan gampang banget di blend. Wangi juga sunscreennya. Harganya sangat afforfable untuk dibeli. Hasilnya bener bener coverage satu wajah. dibeli ya!!,yes,5,04/05/24, 1 month - 3 months, Shopee
19 - 24,"Combination, Medium Light, Cool","Sunscreen yang cukup oily di kulit aku. Tekstur nya creamy cair, namun aga susah di blend. Efeknya di kulit aku oily banget, jadi gampang bikin wajah aku gampang kusam. Untuk packaging standar gampang dipegang dan dibawa kemana mana, tutup rapat untuk menjaga keadaan produk.",No,3,04/05/24, 3 months - 6 months, Guardian
35 - 39,"Oily, Medium, Neutral","Bagus buat kulit muka,apalagi sering kegiatan di luar rumah kena sinar matahari,selain bisa meldmbabkan kulit juga bisa menghaluskan kulit wajah,bisa,di pakai juga segal usia krn memang bener bener enak di kulitnya.",yes,5,04/05/24, 6 months - 1 year, Shopee
18 and Under,"Combination, Medium, Neutral","aku udahhhh pengguna lama banget sunscreen wardah. sempet nyobain merekk lainnn tapi tetep cocoknya ke wardah, karna tekstur nya ga terlalu cair dan enak banget nge blend nya. bikin kulin wajah jadi lembab dan bisa melindungi dari cahaya matahari juga",yes,5,04/05/24, 6 months - 1 year, Shopee
19 - 24,"Oily, Medium Light, Cool","banyak banget yang pake sukaa dehh banyak sekaliii pilihan yang sangat penting untuk dilakukan pemeriksaan fisik ini adalah Bagus bersih sesuai pemakaian tidak mengandung alkohol harga terjangkau dan mudah di dapatkan di pasar pasar kosmetik diseluruh indonesia, terpercaya banyak digunakan untuk semua kalangan dari usia muda sampai lansia bisa digunakan yes",yes,5,04/05/24, More than 1 year, Female Daily Studio
25 - 29,"Normal, Medium, Neutral","Sunscreen terbaik yang pernah aku pake, cocok dan ga bikin putih di wajah. Buat aku yang suka motoran cocok sekali pake wardah ini. 3 minggu lalu kulit kebakar dan pake ini lumayan membaik dan dingin saat pemakaian. Aku pake yang kuning dan yang hijau. Tahan lama",yes,5,04/05/24, Less than 1 week, XBeauty by Female Daily
19 - 24,"Normal, Medium, Neutral",Sunscreen yang enak dan ringan dipakai aku rekomendasiin buat kalian karena ini ampuh buat melindungi kulit wajah kita dari paparan sinar matahari dan harga nya sangat sangat terjangkau produk ini juga udah terjamin halal nya dan bagus juga,yes,5,04/05/24, 6 months - 1 year, Shopee
19 - 24,"Normal, Medium, Cool","Sunscreen wardan teksturenya agak cair buat sekarang² tapi bagus buat kulit biki glowing banget, buat kulit aku sangat cocok, kulit aku termasuk kulit yang agak kering tapi dengan sunscreen ini membantu kulit agar menjadi lembab dan bersih",yes,5,04/05/24, Less than 1 week, FD Flash Sale
19 - 24,"Combination, Medium, Neutral","Wardah sangatlah bagus produknya, harga yang terjangkau, dikulit saya cocok, saya senang sekali membeli produk wardah ini, produk wardah dapat didapatkan distore mana mana, yang membuat saya mudah untuk mendapatkan produk wardah ini",yes,5,04/05/24, 6 months - 1 year, Shopee
30 - 34,"Combination, Medium Light, Warm",Sunscreen favorit aku karena cocok banget diaku yang kulitnya cenderung kering dan berminyak. Gak bikin licin sama sekali ketika kena air. Karena sudah mengandung SPF 35 PA+++ dan cepet bangeet menyerap dikulit wajah. Suka banget sampe repurchase.,yes,5,04/05/24, More than 1 year, Shopee
19 - 24,"Normal, Medium Light, Cool","Jadi aku lagi nyari sunscreenyang kira kira cocok buat aku, karna kulit aku cocok cocokan gitu. Berkali kali ganti ganti sunscree, akhirnya nemu di wardah.Ini tu moist banget di kulit. Nyaman dan bikin enak seharian. Pokonya ini rekomendasi deh ",yes,5,04/05/24, 1 month - 3 months, Shopee
19 - 24,"Oily, Medium Dark, Warm","bagus apalagi buat dryskin, tapi gacocok buat yg oily skin soalnya tekstur dari sunscreen nya juga udah oily! apalagi buat yg suka makeup bagus bgt buat skinprep, worth to buy bgtt apalagi dengan harga yg gak terlalu pricey beneran worth jg",yes,4,04/05/24, 1 month - 3 months, Female Daily Studio
19 - 24,"Oily, Medium Dark, Neutral","aku udah pake ini hampir satu tahun dan gamau ganti sunscreen lagi karena udh nyaman banget dipake!! teksturnya lembut, baunya ga nyengat, harganya jugaa affordable buat aku yg masii kuliah. must try bgtt karena di aku efektif bgt ngelindungin kulit dari UV, gak bikin muka bruntusan, dan ga bikin flek hitam di kulit",yes,5,04/05/24, 6 months - 1 year, Shopee
30 - 34,"Combination, Medium Dark, Neutral","aku suka pake ini, suka banget soalnya. bahannya lembut, gak panas di kulit aku yang kering. mau kena panas seharian juga jadi aman deh pokonya kalo udah pake sun crem Wardah ini. pokonya rekomendasi banget deh buat para wanita yang kulit nya kering kaya aku. ",yes,4,04/05/24, More than 1 year, Instagram
19 - 24,"Oily, Medium Light, Neutral","Suncreen gel Wardah yang di pakai sangat nyaman, enggak bikin wajah berminyak dan kering, melindungi dari sinar matahari, apalagi yang suka beraktivitas di luar, suncreen aman dan nyaman untuk dipakai pada saatberkeringat, tidak lengket ",yes,5,04/05/24, 1 month - 3 months, Alfamart
25 - 29,"Combination, Medium Light, Neutral","agak kurang enak apalagi perih banget ke mata padahal harganya aman banget buat moist sunscreen sama kalo kulit kita berminyak tuh jadinya malah kucel banget kalo akuuuu, padahal cinta banget sama produk wardah tapi gatau kena sunscreennya no:((",No,3,04/05/24, 1 week - 1 month, Shopee
19 - 24,"Oily, Medium Light, Neutral","aaaa cintaaa bangettt emang beneran sebagusss ituuu, ga ninggalin whitecast, cepat meresap bangettt, sayang bgt dehhh sama produk iniii, worthit bangettt buat beliii, selalu repurchaseee, selalu pake iniii, kalian harus cobaaaa!!!",yes,5,04/05/24, More than 1 year, Shopee
19 - 24,"Oily, Light, Cool","pokonya the best banget produk sunscreen Wardah emang keren. walaupun spf35 tapi tetep bisa nahan banget dari terpapar sinar matahari. produk yang aku pake dari zaman sekolah SMA, cocok juga di kulit aku yang berminyak parah ga lengket sama sekalii..",yes,5,04/05/24, Less than 1 week, Shopee
19 - 24,"Combination, Light, Neutral",Cocok bgt dikulit wajah aku bisa mengurangi paparan sinar mata Cocok bgt dikulit wajah aku bisa mengurangi paparan sinar matahari langsung ke kulit kita dan teksturnya mudah menyerap . Harga nya juga affordable banget . hari langsung ke kulit kita dan teksturnya mudah menyerap cocok dipake sebelum skincare an . ,yes,5,04/05/24, 3 months - 6 months, Shopee
19 - 24,",19 - 24",saya sangat cocok menggunakan sunscreen wardah karna mudah untuk di blend dan tidak menggumpal saat digunakan. sunscreen ini juga sangat membantu ketika saya sedang naik motor di siang bolong. wajah saya menjadi tidak belang. terimakasih wardah,yes,5,04/05/24, More than 1 year, Shopee
19 - 24,"Combination, Medium, Neutral","akuu ngegunain ini awal-awal nya iseng,ternyata cocok juga ternyata nyaman di kulit wajah aku ringan dan ga bikin kusam setelah itu aku pake produk ini sampe sekarang,karena harga yang terjangkau dan ramah di kantong aku jadi pake terus. ",yes,5,04/05/24, 6 months - 1 year, Shopee
19 - 24,"Normal, Medium Light, Neutral","Sunscreen wardah satu ini punya tekstur yang sangat ringan dan mudah menyerap ke kulit, sehingga tidak membuat kulit terasa berat. Teksturnya gel ringan yang nyaman dipakai untuk sehari-hari, SPF 35 dan PA+++, memberikan perlindungan yang baik terhadap sinar matahari, bahkan dalam kondisi sinar matahari yang kuat.",yes,5,04/05/24, 6 months - 1 year, Official Brand Store
19 - 24,"Combination, Medium, Warm","ini product udah aku pake dari jaman SMA juga haha, karena susah banget nemu sunscreen yang cocok, kebetulan wardah ini cocok di aku, soalnya ga lengket dan gabikin whitecast di muka ku, gampang di blend juga dan cepat meresap ke kulitku, gapernah aku ganti sunscreen ini wkwkw",yes,5,04/05/24, More than 1 year, Shopee
19 - 24,"Combination, Medium Light, Neutral","Jika Kamu sedang mencari produk sunscreen yang memiliki tekstur gel, tidak ada salahnya untuk mencoba Wardah UV Shield Sunscreen.Produk yang satu ini punya kemampuan broad spectrum protection yang dapat melindungi kulit dari sinar UVA dan UVB. Tak heran, produk ini bisa 30x lebih optimal dalam menjaga kulit dari pancaran blue light.Tabir surya ini juga mengandung bahan alami yang dapat menutrisi kulit. Tentu ini sangat cocok untuk digunakan sehari-hari",yes,5,03/05/24, 1 week - 1 month, Shopee
19 - 24,"Dry, Medium Dark, Warm","Aku sering gonta ganti suncreen karenaaa gaada tg cocok bahkann bikin kulitt keringg bgttt, pas aku coba inii ternyataa enakkk bgtt, ga bikin whitecast, hargaaa jugaa terjangkau, gampangg bangett didapetinn , packagingg yg lucu warnaa kuning",yes,5,03/05/24, More than 1 year, Shopee
19 - 24,"Oily, Medium Light, Neutral","Sebnernya ni produk enak bgt sih buat di blend ke muka, tapi sayangnya bikin muka aku beruntusan huhu. Bau dari produk ini kaya citrusy gt enak bgt, teksturnya kaya gabungan antara cream dan gel. Setelah apply di muka emg feel nya ga enak sih agak berminyak gt trs lengket tp masih bisa diakalin pake bedak tabur ",No,1,03/05/24, 3 months - 6 months, Indomaret
19 - 24,"Oily, Medium, Cool",sunscreen spf30 yang aku cari+ada kandungan vit. c nya. di kulitku yang oily ini enak sih. worth to buy parah! murah+bagus tuh kek juara bgttt. cuma akkk kurang suka baunya siii tp overall rekomennnnn,yes,5,03/05/24, 1 month - 3 months, Shopee
25 - 29,"Combination, Medium, Neutral","suka si sama suncreen yg ini karna hasil akhirnya kaya glowing gitu, cuman karna aku tipe kulit berminyak jadi gabisa ngematte gitu dan ga bertahan lama ampe siang . jadi sunscreen yg ini cocoknya buat yg kulit normal wajib cobain si karna no whitecast dan gabikin kulit kusam",yes,5,03/05/24, 1 week - 1 month, Sample
19 - 24,"Oily, Medium Light, Neutral","Tekstur sunscreen nya lembut, tidak lengket, dan mudah di apply, dipakai seharian rasanya ringan dan bikin wajah jadi terlihat glowing dan aman dari paparan sinar matahari dan ga bikin kusam, selain itu tidak menimbulkan jerawat dan kulit tidak kering",yes,5,03/05/24, More than 1 year, Alfamart
19 - 24,"Normal, Light, Cool","Jujur setelah pakai Wardah sunscreen ini kulit wajah yg asal nya merah kalo terpapar, sinar matahari jadi agak mendingan ditambah bisa membuat kulit sedikit lebih glowing dan tentunya cocok untuk kulit aku , untuk harga segini sih dibilang sangat worth it.",yes,5,03/05/24, More than 1 year, Alfamart
19 - 24,"Oily, Medium, Neutral","Produk yang saya pakai cocok diwajah, tidak menimbulkan jerawat yang awalnya saya selalu berjerawat, harga terjangkau dan mudah ditemukan di berbagai outlet, lalu pemesanan online dimana selalu mendapatkan potongan harga dengan barang orisinal",yes,5,03/05/24, 3 months - 6 months, Female Daily Studio
25 - 29,"Dry, Medium Light, Neutral","Tekstur sun screen nya lembut, mudah di apply juga ke wajah, bikin kulit ga iritasi bikin dingin dan lembab, pakcaging nya pun praktis banget di bawa-bawa kemana masuk ke tas kecil, pokoknya selalu pakai sun screen dimana pun biar kulit kalian terlindungi ",yes,5,03/05/24, More than 1 year, Shopee
19 - 24,"Combination, Medium Light, Neutral","Wardah uv slide ini bagus banget buat semua jenis kulit karna teksturnya yang ringan dan gak whitecase sama sekali , produk dari wardah ini juga sudah mengandun skin dna Booster yang mammpu memperbaiki kondisi kulit dari lapisan paling dalam",yes,5,03/05/24, Less than 1 week, Shopee
19 - 24,"Normal, Medium, Neutral",produknya mudah diblendddddd cocok buat kiliat keringgggf mantapppppp ppkonyaaaAAAAAAAAAAAAAAA MANTAP BANGET BAKAL REPURCHASE LAGIIIIIII SERIUSSSSSSS MANTAPPP DAHHHHHHH I LIKE IT BAGUS BUAT KULIAT AENSITIFFFFFF YESSSSSS MANTAPPPPPP,yes,5,03/05/24, 1 week - 1 month, Shopee
19 - 24,"Combination, Medium, Warm","Sunscreen dari wardah yang bener bener bikin muka ngga oily dann malah cepet banget buat menyerap di muka, bisa di temuin dimana aja dengan harga terjangkau apalagi spf yang super cocok buat di pake diluar ruangan, dann bisa juga dipakai buat oily",yes,5,03/05/24, Less than 1 week, FD Flash Sale
19 - 24,"Combination, Medium Light, Neutral","Bahannya adem, ngga terlalu lengket, enak buat dipake untuk sehari-hari, teksturnya ngga terlalu encer dan berminyak kaya sunscreen biasanya, packingnya juga bagus dan gampang dibawa kemana-mana, harganya juga lumayan terjangkau",yes,5,03/05/24, 1 month - 3 months, Gift
19 - 24,"Oily, Light, Cool","aku udah nyobain cushion nya dan ternyata full coverage bgt. terus aku lagi sering paje wardah colorfit dan emang se cakep ituuu. selain itu juga aku pake lipcream nya dan emmg secakep itu warnanyaa, kalian yang liat ini wajib cobain sihhhh, recomended",yes,5,03/05/24, 1 month - 3 months, Female Daily Studio
19 - 24,"Combination, Medium, Neutral","lagi cari sunscreen murah terus nemu ini. ada vitamin c nya jadi bisa buat mencerahkan, terus lama lama kok malah makin hitam mukaku, terntata tidak se proteksi itu. akhirnya ga dipake lagi dan aku kasih ke kakak. ada wangi mirip citrus bikin seger ",No,3,03/05/24, 1 month - 3 months, Shopee
